S	C	N	Msg Len		Rate	Nmsg	Mb/day
 	 	 	Max	Min
AAM	BHE	US	2064	2048	40.0	    3	 14.3
AAM	BHN	US	2064	80	40.0	    4	 14.3
AAM	BHZ	US	2064	256	40.0	    4	 14.3
ACCN	BHZ	LD	1984	1984	40.0	    2	 14.3
ACSO	BHN	US	2064	1744	40.0	    3	 14.3
ACSO	BHZ	US	2064	2000	40.0	    3	 14.3
ADK	BHE	IU	864	864	20.0	    2	  7.5
ADK	BHN	IU	864	864	20.0	    3	  7.5
ADK	BHZ	IU	864	864	20.0	    3	  7.5
ADK	SHZ	AT	1264	1264	20.0	    1	  3.6
AHID	BHE	US	2064	1328	40.0	    5	 14.3
AHID	BHN	US	2064	960	40.0	    5	 14.3
AHID	BHZ	US	2064	1472	40.0	    5	 14.3
ANMO	BHE	IU	2064	368	40.0	    5	 14.3
ARUT	EHZ	UU	264	264	100.0	   25	 22.8
BAR	BHE	CI	1712	1712	20.0	    1	  7.2
BAR	BHN	CI	1696	1696	20.0	    1	  7.2
BAR	BHZ	CI	1712	1712	20.0	    1	  7.2
BAR	EHZ	SC	264	264	100.0	   24	 22.8
BDFB	BHE	GT	2064	688	20.0	    4	  7.1
BDFB	BHN	GT	2064	592	20.0	    4	  7.1
BDFB	BHZ	GT	2064	416	20.0	    4	  7.1
BGU	HHE	UU	3632	3632	100.0	    3	 35.2
BGU	HHN	UU	3632	3632	100.0	    3	 35.2
BGU	HHZ	UU	3624	3592	100.0	    3	 35.2
BINY	BHZ	US	2064	480	40.0	    6	 14.3
BJT	BHZ	IC	2064	432	20.0	    5	  7.1
BLA	BHE	US	2064	1744	40.0	    4	 14.3
BMN	BHE	LB	2064	1408	40.0	    4	 14.3
BMN	BHN	LB	2064	1088	40.0	    4	 14.3
BOZ	BHE	US	2064	1792	40.0	    7	 14.3
BOZ	BHN	US	2064	1184	40.0	    7	 14.3
BRCN	EHZ	LD	264	264	100.0	   26	 22.8
BRNJ	BHZ	LD	1952	1936	40.0	    2	 14.3
BRYW	BHE	NE	2064	848	50.0	    6	 17.8
BRYW	BHN	NE	2064	896	50.0	    3	 17.8
BRYW	BHZ	NE	2064	832	50.0	    6	 17.8
BRYW	LHN	NE	2064	976	1.0	    3	  0.4
BW06	BHE	US	2064	512	40.0	    5	 14.3
BW06	BHN	US	2064	208	40.0	    5	 14.3
BW06	BHZ	US	2064	976	40.0	    5	 14.3
CCK	EHZ	CO	264	264	100.0	   25	 22.8
CHMT	EHZ	MB	264	264	100.0	   24	 22.8
COW	EHZ	CO	264	264	100.0	   25	 22.8
CSB	EHZ	CO	264	264	100.0	   26	 22.8
CTU	BHZ	UU	2064	1836	50.0	    5	 17.8
CTU	HHE	UU	3632	3632	100.0	    3	 35.2
CTU	HHN	UU	3632	3632	100.0	    2	 35.2
CTU	HHZ	UU	3632	3632	100.0	    3	 35.2
DAC	BHN	LB	2064	768	40.0	    4	 14.3
DAC	BHZ	LB	2064	1728	40.0	    4	 14.3
DAU	EHZ	UU	264	264	100.0	   25	 22.8
DLBC	BHZ	CN	1024	1024	40.0	    4	 14.7
DUG	BHE	US	2064	496	40.0	    7	 14.3
DWPF	BHZ	US	2064	192	20.0	    5	  7.1
EDM	BHZ	CN	1024	1024	40.0	    4	 14.7
EYMN	BHE	US	2064	1216	40.0	    6	 14.3
EYMN	BHZ	US	2064	1680	40.0	    6	 14.3
FCC	BHZ	CN	1024	1024	40.0	    4	 14.7
GDL2	EHZ	SC	264	264	100.0	   24	 22.8
GLA	BHE	CI	1712	1712	20.0	    1	  7.2
GLA	BHN	CI	1712	1712	20.0	    1	  7.2
GLA	BHZ	CI	1712	1712	20.0	    2	  7.2
GLAT	HHE	NM	2064	2064	100.0	    5	 35.7
GLAT	HHN	NM	2064	2064	100.0	    6	 35.7
GLAT	HHZ	NM	2064	2064	100.0	    5	 35.7
GNI	BHN	IU	2064	576	20.0	    6	  7.1
GOGA	BHZ	US	2064	1680	40.0	    4	 14.3
GOU	SHZ	AK	264	264	100.0	   25	 22.8
GRAI	EHZ	RE	2064	2064	100.0	    5	 35.7
GSC	BHE	CI	1712	1712	20.0	    1	  7.2
GSC	BHN	CI	1712	1712	20.0	    2	  7.2
GSC	BHZ	CI	1712	1712	20.0	    1	  7.2
GSTR	SHZ	AK	264	264	100.0	   25	 22.8
HALT	HHE	NM	4064	4064	100.0	    3	 35.1
HALT	HHN	NM	4064	4064	100.0	    2	 35.1
HALT	HHZ	NM	4064	4064	100.0	    2	 35.1
HAWA	BHE	US	2064	1184	40.0	    6	 14.3
HAWA	BHZ	US	2064	1024	40.0	    6	 14.3
HAYW	EHZ	RE	2064	2064	100.0	    5	 35.7
HBAR	HHE	NM	3664	2064	100.0	    4	 35.2
HBAR	HHN	NM	2064	2064	100.0	    5	 35.7
HBAR	HHZ	NM	2064	2064	100.0	    4	 35.7
HBF	EHZ	CO	264	264	100.0	   26	 22.8
HIA	BHZ	IC	2064	1984	20.0	    4	  7.1
HKL	SZ	PT	264	264	100.0	   25	 22.8
HLID	BHE	US	2064	1168	40.0	    5	 14.3
HLID	BHN	US	2064	1568	40.0	    5	 14.3
HON	LZ	PT	264	264	100.0	   25	 22.8
HON	SHZ	PT	264	264	100.0	   25	 22.8
HPO	SZ	PT	264	264	100.0	   25	 22.8
HRV	BHZ	US	2064	1824	20.0	    4	  7.1
HRY	EHZ	MB	264	264	100.0	   24	 22.8
HVU	HHE	UU	3632	3632	100.0	    3	 35.2
HVU	HHN	UU	3632	3632	100.0	    2	 35.2
HVU	HHZ	UU	3632	3632	100.0	    3	 35.2
HWUT	BHN	US	2064	1392	40.0	    7	 14.3
HWUT	BHZ	US	2064	256	40.0	    7	 14.3
IMA	SHZ	AT	1264	1264	20.0	    1	  3.6
INCN	BHE	IU	2064	1728	20.0	    3	  7.1
INK	BHZ	CN	1024	1024	40.0	    4	 14.7
ISA	BHE	CI	1712	1712	20.0	    1	  7.2
ISA	BHN	CI	1712	1712	20.0	    1	  7.2
ISA	BHZ	CI	1712	1712	20.0	    1	  7.2
ISCO	BHZ	US	2064	240	40.0	    8	 14.3
JCT	BHZ	US	2064	112	40.0	    6	 14.3
JFWS	BHN	US	2064	2016	40.0	    5	 14.3
JLDW	HHE	RE	2064	2064	100.0	    4	 35.7
JLDW	HHN	RE	2064	2064	100.0	    5	 35.7
JLDW	HHZ	RE	2064	2064	100.0	    5	 35.7
JLU	HHE	UU	3632	3632	100.0	    3	 35.2
JLU	HHN	UU	3632	3632	100.0	    3	 35.2
JLU	HHZ	UU	3632	3632	100.0	    3	 35.2
JSC	EHZ	CO	264	264	100.0	   25	 22.8
KDAK	BHEXX	II	1024	1024	20.0	    2	  7.4
KDAK	BHNXX	II	1024	1024	20.0	    2	  7.4
KDAK	BHZXX	II	1024	1024	20.0	    2	  7.4
KDC	SHZ	AT	1264	1264	20.0	    1	  3.6
KIWB	SHZ	AK	264	264	100.0	   24	 22.8
KKH	SZ	PT	264	264	100.0	   25	 22.8
LAZ	EHZ	SC	264	264	100.0	   24	 22.8
LBNH	BHN	US	2064	1808	40.0	    5	 14.3
LBNH	BHZ	US	2064	2000	40.0	    5	 14.3
LCCM	EHZ	MB	264	264	100.0	   24	 22.8
LDF	BHE	CI	1712	1712	20.0	    1	  7.2
LDF	BHN	CI	1712	1712	20.0	    1	  7.2
LDF	BHZ	CI	1712	1712	20.0	    1	  7.2
LEM	EHZ	SC	264	264	100.0	   24	 22.8
LHS	EHZ	CO	264	264	100.0	   25	 22.8
LOZ	BHZ	LD	4064	4064	40.0	    1	 14.0
LPAZ	BHZ	GT	2064	504	20.0	    3	  7.1
LPM	EHZ	SC	264	264	100.0	   24	 22.8
LRAL	BHN	US	2064	384	40.0	    6	 14.3
LRAL	BHZ	US	2064	96	40.0	    6	 14.3
LSCT	BHE	US	2064	80	40.0	    6	 14.3
LTX	BHE	US	2064	640	40.0	    8	 14.3
MCMT	EHZ	MB	264	264	100.0	   24	 22.8
MCWV	BHE	US	2064	1552	40.0	    4	 14.3
MCWV	BHN	US	2064	1296	40.0	    4	 14.3
MDV	EHZ	LD	264	264	100.0	   25	 22.8
MIV	EHZ	LD	264	264	100.0	   25	 22.8
MNV	BHE	US	2064	384	40.0	    6	 14.3
MNV	BHN	US	2064	400	40.0	    6	 14.3
MNV	BHZ	US	2064	224	40.0	    6	 14.3
MPU	HHE	UU	3632	3632	100.0	    2	 35.2
MPU	HHN	UU	3632	3632	100.0	    2	 35.2
MPU	HHZ	UU	3632	3632	100.0	    2	 35.2
MSNY	EHZ	LD	264	264	100.0	   26	 22.8
MSU	EHZ	UU	264	264	100.0	   25	 22.8
MVL	BHE	LD	1984	1984	40.0	    2	 14.3
MVL	BHN	LD	1984	1984	40.0	    2	 14.3
MVL	BHZ	LD	1984	1984	40.0	    2	 14.3
MVU	BHE	LB	2064	160	40.0	    3	 14.3
MVU	BHN	LB	2064	288	40.0	    3	 14.3
MWC	BHE	CI	1712	1712	20.0	    1	  7.2
MWC	BHN	CI	1712	1712	20.0	    1	  7.2
MWC	BHZ	CI	1712	1712	20.0	    1	  7.2
MYNC	BHE	US	2064	1744	40.0	    4	 14.3
MYNC	BHZ	US	2064	1824	40.0	    4	 14.3
NCB	BHZ	US	2064	1168	40.0	    6	 14.3
NEW	BHN	US	2064	1856	40.0	    6	 14.3
NEW	BHZ	US	2064	688	40.0	    7	 14.3
NHSC	BHN	US	2064	80	40.0	    4	 14.3
NLU	HHE	UU	3632	3632	100.0	    3	 35.2
NLU	HHN	UU	3632	3632	100.0	    3	 35.2
NLU	HHZ	UU	3632	3632	100.0	    2	 35.2
NNA	BHZ	II	2064	176	20.0	    5	  7.1
NOQ	HHE	UU	3632	3632	100.0	    3	 35.2
